TIME,HEC01.1500_Q,HEC04.5000_Q,HEC04.1000_Q,HEC02.3500_Q,HEC02.2000_Q,HEC04.5250_S,HEC04.1500_S
HOUR,RAS Obs. 1,RAS Obs. 2,RAS Obs. 3,RAS Obs. 4,RAS Obs. 5,RAS Obs. 6,RAS Obs. 7
1,0,0,0,0.263498,0.50475,2.984464,2.000098
2,0,0,0,-0.013039,-0.018955,2.987412,2.000098
3,0.001999,0,0,0.005049,0.004798,2.987145,2.000098
4,0.01,0,0,0.007933,0.006137,2.987314,2.000098
5,0.05,0,0,0.024077,0.015135,2.988041,2.000098
6,0.2,0,0,0.084588,0.048982,2.990998,2.000098
7,0.671,0,0,0.273094,0.15448,3.000949,2.000098
8,1.868,0.117787,0.008119,0.763423,0.463587,3.026846,2.004586
9,4.315001,0.616108,0.127302,1.8115,1.197316,3.080587,2.028216
10,8.277,1.929565,0.734548,3.645426,2.604134,3.172241,2.090538
11,13.18,4.469084,2.417127,6.224032,4.778163,3.301028,2.200022
12,17.423,8.109643,5.450449,8.937583,7.34172,3.446954,2.343324
13,19.122,11.85551,9.24416,10.73175,9.434602,3.574631,2.487234
14,17.423,14.31626,12.51935,10.78548,10.22761,3.650861,2.595377
15,13.18,14.94828,14.25286,8.868924,10.05506,3.669684,2.648571
16,8.277,15.64911,15.13713,4.074434,12.04673,3.690237,2.674832
17,4.315001,20.25291,17.96054,-5.273623,19.14634,3.818089,2.755308
18,1.868,27.81203,24.05804,-10.61967,25.89814,4.007784,2.915322
19,0.671,29.13504,28.07533,-5.690513,21.28742,4.039006,3.012911
20,0.2,22.51153,25.15079,1.102942,12.04762,3.877035,2.942403
21,0.05,14.72276,18.529,2.698763,6.361236,3.663,2.770957
22,0.01,9.382258,12.59865,2.083024,3.834731,3.492245,2.597864
23,0.001999,6.180404,8.505096,1.409727,2.519893,3.373298,2.461092
24,0,4.239894,5.865779,0.973569,1.733787,3.290685,2.360465
25,0,3.011013,4.161956,0.696538,1.237354,3.231553,2.287041
26,0,2.204744,3.040278,0.512313,0.907888,3.188213,2.232979
27,0,1.656691,2.276741,0.386312,0.682621,3.155627,2.192218
28,0,1.272328,1.743646,0.298985,0.52741,3.13056,2.160959
29,0,0.996785,1.362199,0.236212,0.415114,3.11099,2.136573
30,0,0.794372,1.082865,0.189947,0.332719,3.095432,2.117227
31,0,0.642458,0.874157,0.154867,0.270463,3.082864,2.101656
32,0,0.526332,0.715297,0.128911,0.223569,3.072572,2.088951
33,0,0.436092,0.592345,0.108075,0.186616,3.064039,2.078456
34,0,0.365165,0.495786,0.091754,0.157513,3.05691,2.069694
35,0,0.308656,0.418947,0.078714,0.134208,3.050893,2.062304
36,0,0.263138,0.357075,0.068204,0.115515,3.045773,2.05602
37,0,0.226084,0.306723,0.059634,0.100282,3.041383,2.050631
38,0,0.195624,0.265346,0.052572,0.087742,3.037591,2.045979
39,0,0.170362,0.231043,0.046703,0.077335,3.034294,2.041934
40,0,0.149241,0.202371,0.041794,0.068625,3.03141,2.038397
41,0,0.131449,0.178225,0.037646,0.061282,3.028873,2.035287
42,0,0.116321,0.157741,0.033974,0.05495,3.026624,2.032537
43,0,0.103413,0.140253,0.03098,0.049627,3.024627,2.030092
44,0,0.092336,0.125238,0.028401,0.045052,3.022847,2.027912
45,0,0.082778,0.112278,0.026169,0.041096,3.021252,2.025958
46,0,0.074488,0.101034,0.02423,0.037665,3.019818,2.024202
47,0,0.067263,0.091235,0.022539,0.034667,3.018524,2.022617
48,0,0.060938,0.082657,0.021052,0.032041,3.017353,2.021182
49,0,0.055377,0.075115,0.019744,0.029732,3.01629,2.019879
50,0,0.050471,0.068458,0.018584,0.027688,3.015322,2.018692
51,0,0.046124,0.062562,0.017556,0.025876,3.014438,2.017609
52,0,0.042261,0.057321,0.016642,0.02426,3.013628,2.016617
53,0,0.038815,0.052647,0.015819,0.022818,3.012885,2.015706
54,0,0.035732,0.048466,0.015081,0.021523,3.012201,2.014868
55,0,0.032963,0.044713,0.014396,0.020351,3.01157,2.014096
56,0,0.030471,0.041335,0.013796,0.019297,3.010987,2.013382
57,0,0.028223,0.038287,0.013254,0.018349,3.010447,2.01272
58,0,0.026191,0.035531,0.012755,0.017484,3.009946,2.012107
59,0,0.024347,0.033032,0.012304,0.016699,3.009481,2.011537
60,0,0.022673,0.03076,0.011886,0.015981,3.009048,2.011006
61,0,0.021148,0.028692,0.011507,0.015326,3.008644,2.010512
62,0,0.019755,0.026803,0.011156,0.014724,3.008267,2.01005
63,0,0.018483,0.025077,0.010832,0.014168,3.007914,2.009618
64,0,0.017317,0.023495,0.010532,0.013658,3.007584,2.009213
65,0,0.016246,0.022043,0.010252,0.013187,3.007274,2.008833
66,0,0.015262,0.020707,0.009994,0.01275,3.006983,2.008477
67,0,0.014355,0.019477,0.009755,0.012347,3.00671,2.008142
68,0,0.013519,0.018342,0.009526,0.011969,3.006452,2.007826
69,0,0.012746,0.017294,0.009313,0.011616,3.00621,2.007529
70,0,0.012031,0.016323,0.009117,0.011289,3.00598,2.007248
71,0,0.011368,0.015424,0.00893,0.010982,3.005764,2.006983
72,0,0.010753,0.014589,0.008751,0.010695,3.00556,2.006732
73,0,0.010181,0.013813,0.00859,0.010425,3.005366,2.006495
74,0,0.009649,0.013092,0.008427,0.010171,3.005183,2.00627
75,0,0.009153,0.012419,0.00828,0.009933,3.005008,2.006057
76,0,0.00869,0.011791,0.008138,0.009707,3.004843,2.005854
77,0,0.008259,0.011205,0.008003,0.009495,3.004687,2.005662
78,0,0.007855,0.010657,0.007876,0.009293,3.004537,2.005479
79,0,0.007477,0.010145,0.007752,0.009104,3.004395,2.005305
80,0,0.007122,0.009664,0.007635,0.008922,3.00426,2.005139
81,0,0.00679,0.009213,0.007523,0.008751,3.004131,2.004981
82,0,0.006478,0.00879,0.007417,0.008587,3.004008,2.00483
83,0,0.006185,0.008392,0.007315,0.008431,3.003891,2.004687
84,0,0.005909,0.008018,0.007217,0.008284,3.003779,2.004549
85,0,0.00565,0.007666,0.007121,0.00814,3.003671,2.004418
86,0,0.005405,0.007334,0.007028,0.008004,3.003569,2.004292
87,0,0.005174,0.00702,0.006944,0.007876,3.003471,2.004172
88,0,0.004956,0.006725,0.006857,0.007752,3.003377,2.004056
89,0,0.00475,0.006446,0.006776,0.007635,3.003287,2.003946
90,0,0.004556,0.006181,0.006697,0.007519,3.0032,2.00384
91,0,0,0.005392,0.005669,0.005659,3.003193,2.003514
92,0,0,0.004667,0.005666,0.005666,3.003191,2.003201
93,0,0,0,0.005627,0.005628,3.003191,2.003098
94,0,0,0,0.005587,0.005586,3.003191,2.003093
95,0,0,0,0.005549,0.005547,3.003191,2.003093
96,0,0,0,0.005511,0.00551,3.003191,2.003093
97,0,0,0,0.005472,0.005474,3.003191,2.003093
98,0,0,0,0.005436,0.005439,3.003191,2.003093
99,0,0,0,0.005399,0.005401,3.00319,2.003093
100,0,0,0,0.005366,0.005364,3.003191,2.003093
101,0,0,0,0.005331,0.005329,3.003191,2.003093
102,0,0,0,0.005293,0.005296,3.00319,2.003093
103,0,0,0,0.005259,0.005261,3.003191,2.003093
104,0,0,0,0.005225,0.005227,3.003191,2.003093
105,0,0,0,0.005192,0.005193,3.003191,2.003093
106,0,0,0,0.005159,0.005158,3.00319,2.003093
107,0,0,0,0.005126,0.005128,3.003191,2.003093
108,0,0,0,0.005091,0.005093,3.003191,2.003093
109,0,0,0,0.005064,0.005062,3.003191,2.003093
110,0,0,0,0.005031,0.005032,3.00319,2.003093
111,0,0,0,0.005001,0.005,3.003191,2.003093
112,0,0,0,0.004968,0.004968,3.003191,2.003093
113,0,0,0,0.004938,0.004936,3.003191,2.003093
114,0,0,0,0.00491,0.004907,3.003191,2.003093
115,0,0,0,0.00488,0.004878,3.00319,2.003093
116,0,0,0,0.004847,0.004848,3.003191,2.003093
117,0,0,0,0.004821,0.004822,3.003191,2.003093
118,0,0,0,0.004793,0.004789,3.00319,2.003093
119,0,0,0,0.004764,0.004761,3.003191,2.003093
120,0,0,0,0.004737,0.004735,3.00319,2.003093
121,0,0,0,0.004707,0.004707,3.003191,2.003093
122,0,0,0,0.004683,0.004682,3.00319,2.003093
123,0,0,0,0.004653,0.004652,3.003191,2.003093
124,0,0,0,0.004628,0.004627,3.003191,2.003093
125,0,0,0,0.004602,0.004604,3.00319,2.003093
126,0,0,0,0.004577,0.004575,3.00319,2.003093
127,0,0,0,0.004548,0.004549,3.00319,2.003093
128,0,0,0,0.004524,0.004522,3.00319,2.003093
129,0,0,0,0.004499,0.004497,3.003191,2.003093
130,0,0,0,0.004473,0.004471,3.00319,2.003093
131,0,0,0,0.004448,0.004449,3.003191,2.003093
132,0,0,0,0.004426,0.004424,3.00319,2.003093
133,0,0,0,0.004398,0.004399,3.003191,2.003093
134,0,0,0,0.004378,0.004379,3.003191,2.003093
135,0,0,0,0.004352,0.004352,3.003191,2.003093
136,0,0,0,0.004328,0.004329,3.003191,2.003093
137,0,0,0,0.004307,0.004305,3.00319,2.003093
138,0,0,0,0.004284,0.004284,3.003191,2.003093
139,0,0,0,0.004261,0.004263,3.003191,2.003093
140,0,0,0,0.004237,0.004237,3.00319,2.003093
141,0,0,0,0.004217,0.004218,3.00319,2.003093
142,0,0,0,0.004191,0.004194,3.003191,2.003093
143,0,0,0,0.004172,0.004174,3.003191,2.003093
144,0,0,0,0.004151,0.004149,3.00319,2.003093
145,0,0,0,0.00413,0.004132,3.00319,2.003093
146,0,0,0,0.004107,0.004107,3.003191,2.003093
147,0,0,0,0.004087,0.004089,3.003191,2.003093
148,0,0,0,0.004071,0.004068,3.003191,2.003093
149,0,0,0,0.004046,0.004049,3.003191,2.003093
150,0,0,0,0.004028,0.004027,3.003191,2.003093
151,0,0,0,0.004005,0.004005,3.003191,2.003093
152,0,0,0,0.003988,0.003986,3.003191,2.003093
153,0,0,0,0.003971,0.00397,3.003191,2.003093
154,0,0,0,0.003948,0.003949,3.003191,2.003093
155,0,0,0,0.003929,0.003932,3.003191,2.003093
156,0,0,0,0.003909,0.003912,3.00319,2.003093
157,0,0,0,0.00389,0.003892,3.003191,2.003093
158,0,0,0,0.003872,0.003874,3.003191,2.003093
159,0,0,0,0.003856,0.003855,3.003191,2.003093
160,0,0,0,0.003838,0.003835,3.003191,2.003093
161,0,0,0,0.003817,0.003818,3.00319,2.003093
162,0,0,0,0.003798,0.003797,3.003191,2.003093
163,0,0,0,0.003781,0.003782,3.003191,2.003093
164,0,0,0,0.003765,0.003765,3.00319,2.003093
165,0,0,0,0.003746,0.003747,3.003191,2.003093
166,0,0,0,0.00373,0.00373,3.003191,2.003093
167,0,0,0,0.00371,0.003712,3.003191,2.003093
168,0,0,0,0.003692,0.003694,3.00319,2.003093
169,0,0,0,0.003677,0.003678,3.00319,2.003093
